"Butter, salted",0.06,0,0.06,227,"1 cup",14.2,"1 tbsp"
"Butter, whipped, with salt",0.06,0,0.06,151,"1 cup",9.4,"1 tbsp"
"Butter oil, anhydrous",0,0,0,205,"1 cup",12.8,"1 tbsp"
"Cheese, blue",2.34,0,0.5,28.35,"1 oz",17,"1 cubic inch"
"Cheese, brick",2.79,0,0.51,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, brie",0.45,0,0.45,240,"1 cup, melted",144,"1 cup, sliced"
"Cheese, camembert",0.46,0,0.46,246,"1 cup",28.35,"1 oz"
"Cheese, caraway",3.06,0,,28.35,"1 oz",,
"Cheese, cheddar",1.28,0,0.52,132,"1 cup, diced",244,"1 cup, melted"
"Cheese, cheshire",4.78,0,,28.35,"1 oz",,
"Cheese, colby",2.57,0,0.52,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, cottage, creamed, large or small curd",3.38,0,2.67,113,"4 oz",210,"1 cup, large curd (not packed)"
"Cheese, cottage, creamed, with fruit",4.61,0.2,2.38,226,"1 cup,  (not packed)",113,"4 oz"
"Cheese, cottage, nonfat, uncreamed, dry, large or small curd",6.66,0,1.85,145,"1 cup,  (not packed)",113,"4 oz"
"Cheese, cottage, lowfat, 2% milkfat",3.66,0,3.67,226,"1 cup,  (not packed)",113,"4 oz"
"Cheese, cottage, lowfat, 1% milkfat",2.72,0,2.72,226,"1 cup,  (not packed)",113,"4 oz"
"Cheese, cream",4.07,0,3.21,232,"1 cup",14.5,"1 tbsp"
"Cheese, edam",1.43,0,1.43,28.35,"1 oz",198,"1 package,  (7 oz)"
"Cheese, feta",4.09,0,4.09,150,"1 cup, crumbled",28.35,"1 oz"
"Cheese, fontina",1.55,0,1.55,132,"1 cup, diced",108,"1 cup, shredded"
"Cheese, gjetost",42.65,0,,28.35,"1 oz",227,"1 package,  (8 oz)"
"Cheese, gouda",2.22,0,2.22,28.35,"1 oz",198,"1 package,  (7 oz)"
"Cheese, gruyere",0.36,0,0.36,132,"1 cup, diced",108,"1 cup, shredded"
"Cheese, limburger",0.49,0,0.49,134,"1 cup",28.35,"1 oz"
"Cheese, monterey",0.68,0,0.5,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, mozzarella, whole milk",2.19,0,1.03,112,"1 cup, shredded",28.35,"1 oz"
"Cheese, mozzarella, whole milk, low moisture",2.47,0,1.01,28.35,"1 oz",18,"1 cubic inch"
"Cheese, mozzarella, part skim milk",2.77,0,1.13,28.35,"1 oz",,
"Cheese, mozzarella, part skim milk, low moisture",3.83,0,0.6,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, muenster",1.12,0,1.12,132,"1 cup, diced",113,"1 cup, shredded"
"Cheese, neufchatel",3.59,0,3.19,28.35,"1 oz",85,"1 package,  (3 oz)"
"Cheese, parmesan, grated",4.06,0,0.9,100,"1 cup",5,"1 tbsp"
"Cheese, parmesan, hard",3.22,0,0.8,28.35,"1 oz",10.3,"1 cubic inch"
"Cheese, port de salut",0.57,0,0.57,132,"1 cup, diced",113,"1 cup, shredded"
